"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",0,0.5,0,10,"Cauchy",0
"ab1",0,0.5,0,2.5,"Cauchy",0
"ab2",0,0.5,0,2.5,"Cauchy",0
"ab3",0,0.5,0,2.5,"Cauchy",0
"ab4",0,0.5,0,2.5,"Cauchy",0
"ab5",0,0.5,0,2.5,"Cauchy",1
"ab6",0,0.5,0,2.5,"Cauchy",1
"at0",0,0.5,0,10,"Cauchy",0
"at1",0,0.5,0,2.5,"Cauchy",0
"at2",0,0.5,0,2.5,"Cauchy",0
"at3",0,0.5,0,2.5,"Cauchy",0
"at4",0,0.5,0,2.5,"Cauchy",0
"at5",0,0.5,0,2.5,"Cauchy",1
"at6",0,0.5,0,2.5,"Cauchy",1
"bb0",0,0.5,0,10,"Cauchy",0
"bb1",0,0.5,0,2.5,"Cauchy",0
"bb2",0,0.5,0,2.5,"Cauchy",0
"bb3",0,0.5,0,2.5,"Cauchy",0
"bb4",0,0.5,0,2.5,"Cauchy",0
"bb5",0,0.5,0,2.5,"Cauchy",1
"bb6",0,0.5,0,2.5,"Cauchy",1
"bt0",0,0.5,0,10,"Cauchy",0
"bt1",0,0.5,0,2.5,"Cauchy",0
"bt2",0,0.5,0,2.5,"Cauchy",0
"bt3",0,0.5,0,2.5,"Cauchy",0
"bt4",0,0.5,0,2.5,"Cauchy",0
"bt5",0,0.5,0,2.5,"Cauchy",1
"bt6",0,0.5,0,2.5,"Cauchy",1
"tt0",0,0.5,0,10,"Cauchy",0
"tt1",0,0.5,0,2.5,"Cauchy",0
"tt2",0,0.5,0,2.5,"Cauchy",0
"tt3",0,0.5,0,2.5,"Cauchy",0
"tt4",0,0.5,0,2.5,"Cauchy",0
"tt5",0,0.5,0,2.5,"Cauchy",1
"tt6",0,0.5,0,2.5,"Cauchy",1
"th0",0,0.5,0,10,"Cauchy",0
"th1",0,0.5,0,2.5,"Cauchy",0
"th2",0,0.5,0,2.5,"Cauchy",0
"th3",0,0.5,0,2.5,"Cauchy",0
"th4",0,0.5,0,2.5,"Cauchy",0
"th5",0,0.5,0,2.5,"Cauchy",1
"th6",0,0.5,0,2.5,"Cauchy",1
"e0",0,0.5,0,10,"Cauchy",0
"e1",0,0.5,0,2.5,"Cauchy",0
"e2",0,0.5,0,2.5,"Cauchy",0
"e3",0,0.5,0,2.5,"Cauchy",0
"e4",0,0.5,0,2.5,"Cauchy",0
"e5",0,0.5,0,2.5,"Cauchy",1
"e6",0,0.5,0,2.5,"Cauchy",1
